process_id,process_name,category,frequency,primary_system,owner,documentation_status,source_surfaces,related_doc,notes
PROC-001,Daily screening run,scheduled control,Daily,agm-api,Andres Aguilar,draft,"API /actions/run_screening_process; GitHub workflow daily_screening.yaml; actions.py",processes/01-daily-screening-run.md,"Compares today with the previous calendar day; skips when all lists are unchanged or no confirmed delta can be established; unavailable snapshots no longer fail open into screening; includes all linked contacts and deduplicates by contact id"
PROC-002,Unfunded accounts follow-up,scheduled outreach,Weekly,agm-api,Andres Aguilar,draft,"API /actions/send_unfunded_emails; GitHub workflow send_unfunded_emails.yml; actions.py",processes/02-unfunded-accounts-follow-up.md,"Cross-references NAV, clients, contacts, and advisors to send funding reminders"
PROC-003,Pending IBKR alias update,scheduled remediation,Daily,agm-api,Andres Aguilar,draft,"API /actions/update_pending_alias; GitHub workflow update_aliases.yml; actions.py",processes/03-pending-ibkr-alias-update.md,"Updates IBKR aliases for qualifying accounts that still have blank aliases"
PROC-004,Clients ETL pipeline,scheduled data pipeline,Daily,agm-api,Andres Aguilar,draft,"API /etl/clients; GitHub workflow etl_clients.yaml; private/etl.py",processes/04-clients-etl-pipeline.md,"Extracts backs up and transforms client resources; reconciles manually supplied files that arrive during extraction; partial API results still return HTTP 200 and produce a workflow success email"
PROC-005,Market data ETL pipeline,scheduled data pipeline,Daily,agm-api,Andres Aguilar,draft,"API /etl/market_data; GitHub workflow etl_market_data.yaml; private/etl.py",processes/05-market-data-etl-pipeline.md,"Extracts, backs up, transforms, and notifies for market-data resource files; per-symbol snapshot failures are logged and omitted without aborting valid symbols"
PROC-006,Documents review workflow,retired compliance review,N/A,agm-dashboard,Andres Aguilar,retired,"Retired 2026-07-15; functionality consolidated into Accounts Audit",,"Historical document: processes/06-documents-review-workflow.md; identifier retained and must not be reused"
PROC-007,Proof of identity expiration review,retired compliance review,N/A,agm-dashboard,Andres Aguilar,retired,"Retired 2026-07-15; functionality consolidated into Accounts Audit",,"Historical document: processes/07-proof-of-identity-expiration-review.md; identifier retained and must not be reused"
PROC-008,Accounts metadata review and analysis,operational analysis,On demand,agm-dashboard,Andres Aguilar,draft,"AccountsPage; ReadAccountsWithMetadata; contacts and advisors joins",processes/08-accounts-metadata-review.md,"Documents exact NAV advisor device status application and email filters plus contact-label fallback order; Unassigned advisor does not currently match blank advisor codes and missing NAV is displayed as zero"
PROC-009,Account opening and AGM account creation,client onboarding,On demand,agm-hub,Andres Aguilar,draft,"RequirementsPage; ContactDocuments; IBKRApplicationForm; localized requirements; account and application utils; account/contact/document flows",processes/09-account-opening-and-agm-account-creation.md,"Presents bilingual document requirements including public/private-accountant income certification for personal and institutional Source of Wealth, displays contact documents by category type normalized language labels and formatted dates without internal ids, captures account-opening data, creates internal account/contact records, and uploads supporting documents with language metadata without automatic OCR"
PROC-010,IBKR account submission and onboarding,external onboarding,On demand,agm-dashboard,Andres Aguilar,draft,"ApplicationPage; ContactDocuments; /accounts/send_to_ibkr; /accounts/ibkr/details; registration and pending tasks",processes/10-ibkr-account-submission-and-onboarding.md,"Allows known document types or required free-text replacement of Other, displays contact documents by category type normalized language labels and formatted dates without internal ids, submits AGM applications to IBKR with populated and validated application.documents, blocks stored documents larger than 2 MB before the IBKR request, and manages onboarding follow-up through task and detail retrieval"
PROC-011,Account banking instructions handling,cash operations,On demand,agm-dashboard,Andres Aguilar,draft,"/accounts/instructions; /accounts/ibkr/instructions; /accounts/ibkr/active_bank_instructions; /accounts/ibkr/withdrawable_cash; /accounts/ibkr/wire_instructions",processes/11-account-banking-instructions-handling.md,"Separates internal banking instructions from IBKR instruction-status and cash availability flows"
PROC-012,IBKR reference data downloads,reference data,On demand,agm-hub,Andres Aguilar,draft,"/accounts/ibkr/forms; /accounts/ibkr/product_country_bundles; /accounts/ibkr/financial_ranges; /accounts/ibkr/business_and_occupation",processes/12-ibkr-reference-data-downloads.md,"Loads IBKR forms and enumerations used to support account-opening and account-servicing workflows"
PROC-013,Daily IBKR details backup and reporting feed,backup and reporting,Daily,agm-api,Andres Aguilar,draft,"clients ETL account_details extract; reporting get_ibkr_details; Dashboard review consumers",processes/13-daily-ibkr-details-backup.md,"Enriches the prior backup for missing accounts then publishes a stable IBKR details resource; per-account failures are skipped"
PROC-014,Contact deduplication and dependency merge,data remediation,On demand,agm-api,Andres Aguilar,draft,"dev/contact_dedup_dry_run.py; dev/contact_dedup_apply.py; contact_dedup_manual_review.py; contact dependency tables; reporting get_ibkr_details",processes/14-contact-deduplication-workflow.md,"Uses hashed read-only plans and serializable transactions; residual conflicts require explicit left/right operator selection and exact account/document-union verification before a manual override can be applied"
PROC-015A,Advisor contact linking,data remediation,On demand,agm-dashboard,Andres Aguilar,draft,"AdvisorsPage; advisors contact APIs; advisor and contact tables",processes/15a-advisor-contact-linking.md,"Lets an operator search and link an existing contact or atomically create and link a new contact; no automatic name match is applied"
PROC-015B,Compliance reference data refresh,compliance reference data,Daily,agm-api,Andres Aguilar,draft,"Clients ETL OFAC UK and UN extract/backup/transform steps; Google Drive resources",processes/15b-compliance-reference-data-refresh.md,"Refreshes OFAC UK and UN inside the Clients ETL; FATF is not downloaded and partial list failures do not fail the GitHub workflow"
PROC-016,Contact screening and AML risk assessment,screening and risk assessment,Event driven,agm-api,Andres Aguilar,draft,"Hub finalization; POST /contacts/screen; contacts.py risk and sanctions logic",processes/16-contact-screening-and-aml-risk-assessment.md,"Creates contact-level exact-name sanctions results and a weighted risk score using hardcoded jurisdiction sets and worker-level caches; resolves customer type from IBKR applicantType with stored application fallback when IBKR details are partial"
PROC-017,Deposits and withdrawals monitoring,transaction monitoring,On demand,agm-dashboard,Andres Aguilar,draft,"DepositsWithdrawalsReport; monthly deposits reporting route; flagged_deposit API",processes/17-deposits-and-withdrawals-monitoring.md,"Calculates browser-only high-value and financial-range flags; SOW support compares liquid net worth plus NAV; persists only append-only freeform comment rows"
PROC-018,Regulatory file review and export,compliance review,On demand,agm-dashboard,Andres Aguilar,draft,"/accounts/[accountId]/regulatory; AccountRegulatoryPage",processes/18-regulatory-file-review-and-export.md,"Builds a read-only account regulatory view and optional browser PDF; includes Accounts Audit-style OCR-backed ID, residence, POA, and SOW evidence analysis using liquid net worth plus NAV for SOW support; contact SOW is required only for company contacts and for person contacts whose linked IBKR employment type is Employed or Self-Employed; trusted contacts and unassigned documents are not shown; account-screening API route is absent and section failures can become empty data"
PROC-019,Fee template review,retired compliance review,N/A,agm-dashboard,Andres Aguilar,retired,"Retired 2026-07-15 as redundant",,"Historical document: processes/19-fee-template-review.md; identifier retained and must not be reused"
PROC-020,Investment business regulatory reporting,regulatory reporting,On demand,agm-dashboard,Andres Aguilar,draft,"InvestmentBusiness page; clients NAV IBKR details and trades reports",processes/20-investment-business-regulatory-reporting.md,"Displays hardcoded 2025 metrics; missing country defaults to Costa Rica and no certified report or review record is retained"
PROC-021,Compliance manual update notification,governance notification,On demand,agm-api,Andres Aguilar,draft,"POST /actions/send_compliance_manual_update_email; Gmail template",processes/21-compliance-manual-update-notification.md,"Sends a generic notice to one hardcoded recipient without change details acknowledgment or automatic repository trigger"
PROC-022,Accounts Audit review,compliance review,On demand,agm-dashboard,Andres Aguilar,draft,"AccountsAuditReport; AccountsFocus; ContactFocus; accounts contacts links documents document_processing advisors IBKR details financial ranges review assignments clipboard outreach and email attempts",processes/22-accounts-audit-review.md,"Current compliance review with separately defined Account Focus and Contact Focus populations exact AND-combined filters category-presence stages financial/profile comparisons live OCR-backed profile-document support using liquid net worth plus NAV for SOW support holder matching entity-id-based IBKR phone and employment enrichment assignment upload bilingual copied-message or email outreach history and Account Focus plus Contact Focus CSV exports; copied-message delivery is not persisted and the process remains on demand with no persisted audit-run completion"
PROC-023,Contact document categorization quality analysis,data quality review,On demand,agm-api,Andres Aguilar,draft,"dev/contact_document_category_analysis.py; contact_document; document; document_processing",processes/23-contact-document-categorization-quality-analysis.md,"Read-only heuristic review queue for canonical labels and possible category/type mismatches; uses filenames and existing extracted text, records confidence and ambiguity, and never updates the database"
PROC-024,Source of Wealth OCR analysis,compliance document analysis,On demand,agm-api,Andres Aguilar,draft,"account_audit.py; contact_document; document; Google Document AI OCR",processes/24-source-of-wealth-ocr-analysis.md,"Read-only batches of 10 Source-of-Wealth documents; extracts labeled wealth income assets liabilities equity balances source categories currencies periods and evidence context into resumable CSV outputs; rejects weak low-value disclosure-note proximity matches; every pilot row requires manual validation and Source-of-Wealth output is not a Source-of-Funds decision"
PROC-025,Account audit and Source of Wealth transaction analysis,transaction and compliance evidence analysis,On demand,agm-api,Andres Aguilar,draft,"account_audit.py; source_of_wealth_transaction_analysis.py; contact_document; document; account_contact; account; local Source-of-Wealth OCR CSV; local ID OCR CSV; local Proof-of-Address OCR CSV; deposits/withdrawals report; IBKR details; financial ranges; Gemini 3.5 Flash",processes/25-source-of-wealth-transaction-ai-analysis.md,"Two-script workflow: OCR missing Source-of-Wealth documents into one cumulative OCR CSV; write account_audit.csv with Account Focus-style financial/profile comparisons plus local ID/SOW/POA OCR-vs-profile support fields using liquid net worth plus NAV for SOW support; compare application and IBKR residences and require address evidence to coincide, treating ID without address text as inconclusive; write one unique flagged transaction analysis CSV with full OCR/profile payloads; Gemini is on by default for up to 10 pending flagged transaction rows per run and can be disabled with SOW_RUN_GEMINI=false; no name matching or database writes"
PROC-026,OCR CSV database import,document text persistence,On demand,agm-api,Andres Aguilar,draft,"import_ocr_csv_to_document_processing.py; id_document_ocr_extractions.csv; source_of_wealth_ocr_extractions.csv; document; document_processing",processes/26-ocr-csv-database-import.md,"Uses fixed root CSV inputs with no command-line parameters; validates completed non-empty retained OCR rows and transactionally inserts missing text_extraction records; existing records are always skipped and writes are reconciled before commit"
PROC-027,Proof of Address OCR analysis,compliance document analysis,On demand,agm-api,Andres Aguilar,draft,"proof_of_address_ocr_analysis.py; contact_document; document; Google Document AI OCR; proof_of_address_ocr_extractions.csv",processes/27-proof-of-address-ocr-analysis.md,"Resumable OCR-only processing in fixed batches of up to 100 unique documents categorized as Proof of Address; writes full text and quality metadata to one fixed root CSV and performs no address extraction or database writes"
PROC-028,Other documents OCR analysis,document text extraction,On demand,agm-api,Andres Aguilar,draft,"other_documents_ocr_analysis.py; proof_of_address_ocr_analysis.py; contact_document; document; Google Document AI OCR; other_documents_ocr_extractions.csv",processes/28-other-documents-ocr-analysis.md,"Resumable OCR-only processing in batches of up to 100 unique documents whose category is blank or is not Proof of Address Proof of Identity or Source of Wealth; writes one fixed root CSV and performs no database writes"
PROC-029,Document recategorization analysis,document metadata quality,On demand,agm-api,Andres Aguilar,draft,"document_recategorization_analysis.py; other_documents_inventory.csv; other_documents_ocr_extractions.csv; document_recategorization_proposal.csv; Dashboard and Hub document taxonomies",processes/29-document-recategorization-analysis.md,"Creates a complete non-writing OCR-aware category proposal using normalized type filename and OCR phrase rules; locks existing Proof of Existence assignments; routes ambiguous or conflicting rows to review; new categories require frontend taxonomy support before remediation"
